class_id,class_name,precision,recall,f1_score,mAP50,mAP50_95
0,person,nan,0.17337847469707768,nan,0.1756737262534732,0.0641167336080329
1,bicycle,nan,0.12195121951219512,nan,0.07257516739866154,0.03582258147029079
2,car,nan,0.11676891615541925,nan,0.09332635086406961,0.04217641056745665
3,motorcycle,nan,0.24196428571428572,nan,0.24052974835229818,0.10947439533600598
4,bus,nan,0.3027027027027027,nan,0.26506284882029246,0.1270774606116077
5,truck,nan,0.18938053097345137,nan,0.09508849027607613,0.044919335115949914
6,traffic light,nan,0.0886178861788618,nan,0.04387904238391359,0.018407303199343687
7,stop sign,nan,0.22352941176470584,nan,0.297029702970297,0.1533495351481936
