class_id,class_name,precision,recall,f1_score,mAP50,mAP50_95,AP50,AP50_95
0,person,0.6079493486892145,0.6107429368678061,0.6093429409305113,0.6249575942140078,0.3666743382211425,0.6249575942140078,0.3666743382211425
1,bicycle,0.35797005498046586,0.1951219512195122,0.2525721392570267,0.1735539142507639,0.08153974307374882,0.1735539142507639,0.08153974307374882
2,car,0.5012162989199078,0.3617886178861789,0.42023944132175634,0.36424927663048123,0.19926662066520712,0.36424927663048123,0.19926662066520712
3,motorcycle,0.4141247937872239,0.37533850789506995,0.39377886686113023,0.39657205672700013,0.20149993017724038,0.39657205672700013,0.20149993017724038
4,bus,0.43297147809551184,0.5405405405405406,0.480813040472344,0.5663525614862767,0.4144878815841687,0.5663525614862767,0.4144878815841687
5,truck,0.33827773690070995,0.24778761061946902,0.28604670966151,0.20315700216546867,0.12782356592862212,0.20315700216546867,0.12782356592862212
6,traffic light,0.329351128066255,0.20161290322580644,0.2501165171152897,0.16884805055891558,0.08288789225581578,0.16884805055891558,0.08288789225581578
7,stop sign,0.6115477651152454,0.5294117647058824,0.5675233399073455,0.5131386904761905,0.45025982142857146,0.5131386904761905,0.45025982142857146
