class_id,category_id,class_name,precision,recall,f1_score,mAP50,mAP50_95,AP50,AP50_95
0,0,person,0.451419242362668,0.5119387027797576,0.4797780150363506,0.7189022613698263,0.451419242362668,0.7189022613698263,0.451419242362668
1,1,bicycle,0.2801842568549684,0.35000000000000003,0.31122481665487767,0.48898520136891027,0.2801842568549684,0.48898520136891027,0.2801842568549684
2,2,car,0.30925301724253684,0.418200408997955,0.3555684353926595,0.5395252616241333,0.30925301724253684,0.5395252616241333,0.30925301724253684
3,3,motorcycle,0.3300783363812984,0.43125,0.3739419006549185,0.6776889642304827,0.3300783363812984,0.6776889642304827,0.3300783363812984
4,4,bus,0.5480710533547208,0.7,0.6147882948123554,0.7772146651482644,0.5480710533547208,0.7772146651482644,0.5480710533547208
5,5,truck,0.23336321111107028,0.4159292035398231,0.29897954247659253,0.39083543320681846,0.23336321111107028,0.39083543320681846,0.23336321111107028
6,6,traffic light,0.2341646983475854,0.3349593495934959,0.27563641121833055,0.5053318268262355,0.2341646983475854,0.5053318268262355,0.2341646983475854
7,7,stop sign,0.5948432343234323,0.611764705882353,0.6031853167316615,0.7512376237623762,0.5948432343234323,0.7512376237623762,0.5948432343234323
