model,precision_mean,recall_mean,f1_mean,mAP50,mAP50_95,fps,avg_ms_per_image,model_size_mb,weights,split,device
Faster R-CNN,0.3726721312472851,0.471755296349173,0.4164006188620828,0.6062151546921308,0.3726721312472851,0.3707116147687656,2697.514618266704,158.16843605041504,models\faster_rcnn\best.pth,test,cpu
YOLOv8,0.4491760755693168,0.3827931041200332,0.4133362351904305,0.3763536433136381,0.2405549741668146,23.805069843192747,42.0078582666271,5.944803237915039,models\yolov8\best.pt,test,cpu
Deformable DETR,0.0744179693821101,0.1822866784623374,0.1056888106271987,0.1603956346648852,0.0744179693821101,0.6159414786374219,1623.530862399765,155.81418418884277,models/deformable_detr/best,test,
